Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
1982-83,NBA,San Antonio Spurs*,53,29,.646,1,3.10,103.3,0.2,110.1,5.4,106.6,1.9,Lost W. Conf. Finals,S. Albeck (53-29),A. Gilmore (11.0)
1981-82,NBA,San Antonio Spurs*,48,34,.585,1,1.79,102.5,1.6,109.9,3.0,107.6,0.7,Lost W. Conf. Finals,S. Albeck (48-34),G. Gervin (10.7)
1980-81,NBA,San Antonio Spurs*,52,30,.634,1,2.18,102.9,1.1,108.5,3.0,105.7,0.2,Lost W. Conf. Semis,S. Albeck (52-30),G. Gervin (10.5)
1979-80,NBA,San Antonio Spurs*,41,41,.500,3,-0.24,109.5,6.4,108.6,3.3,109.0,3.7,Lost E. Conf. 1st Rnd.,D. Moe (33-33) B. Bass (8-8),G. Gervin (10.6)
1978-79,NBA,San Antonio Spurs*,48,34,.585,1,4.97,110.6,4.8,107.1,3.3,102.4,-1.4,Lost E. Conf. Finals,D. Moe (48-34),G. Gervin (11.4)
1977-78,NBA,San Antonio Spurs*,52,30,.634,1,3.20,109.0,2.3,104.5,3.6,101.4,0.5,Lost E. Conf. Semis,D. Moe (52-30),G. Gervin (12.0)
1976-77,NBA,San Antonio Spurs*,44,38,.537,3,0.53,111.8,5.3,102.5,3.0,102.0,2.5,Lost E. Conf. 1st Rnd.,D. Moe (44-38),G. Gervin (10.5)
1975-76,ABA,San Antonio Spurs*,50,34,.595,3,3.82,106.8,-0.1,107.5,3.4,103.6,-0.5,Lost Semis,B. Bass (50-34),J. Silas (13.1)
1974-75,ABA,San Antonio Spurs*,51,33,.607,2,3.89,102.9,-0.2,109.5,4.8,105.4,0.7,Lost W. Div. Semis,T. Nissalke (18-10) B. Bass (33-23),G. Gervin (10.0)
1973-74,ABA,San Antonio Spurs*,45,39,.536,3,0.74,95.0,-7.6,101.7,-1.3,100.8,-2.2,Lost W. Div. Semis,T. Nissalke (45-39),J. Silas (7.9)
1972-73,ABA,Dallas Chaparrals,28,56,.333,5,-3.79,108.6,-0.7,101.1,-0.7,105.1,3.3,,B. McCarthy (24-48) D. Brown (4-8),J. Silas (7.4)
1971-72,ABA,Dallas Chaparrals*,42,42,.500,3,0.26,103.4,-8.5,99.7,-0.9,99.6,-1.0,Lost W. Div. Semis,T. Nissalke (42-42),D. Freeman (8.9)
1970-71,ABA,Texas Chaparrals*,30,54,.357,4,-2.21,114.3,3.2,105.1,0.1,107.7,2.7,Lost W. Div. Semis,M. Williams (5-14) B. Blakeley (25-40),J. Beasley (6.8)
1969-70,ABA,Dallas Chaparrals*,45,39,.536,2,2.13,113.1,3.9,105.3,2.6,103.6,0.9,Lost W. Div. Semis,C. Hagan (22-21) M. Williams (23-18),G. Combs (8.6)
1968-69,ABA,Dallas Chaparrals*,41,37,.526,4,-0.31,105.8,-3.6,104.2,0.2,104.8,0.8,Lost W. Div. Semis,C. Hagan (41-37),J. Beasley (8.1)
1967-68,ABA,Dallas Chaparrals*,46,32,.590,2,0.98,105.0,-2.0,103.7,2.4,102.5,1.2,Lost W. Div. Finals,C. Hagan (46-32),J. Beasley (8.9)
