2006-07,24,TOT,NBA,PF,11,0,8.1,0.5,1.4,.400,0.0,0.0,,0.5,1.4,.400,0.4,0.9,.400,1.2,1.4,2.5,0.1,0.1,0.7,0.5,1.4,1.5
2006-07,24,UTA,NBA,PF,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07,24,PHI,NBA,PF,10,0,8.7,0.6,1.5,.400,0.0,0.0,,0.6,1.5,.400,0.4,1.0,.400,1.3,1.5,2.8,0.1,0.1,0.8,0.5,1.5,1.6
2007-08,25,PHI,NBA,PF,16,0,4.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,0.1,0.4,.286,0.4,0.3,0.8,0.0,0.1,0.1,0.1,0.8,1.1
2008-09,26,PHO,NBA,PF,76,0,13.7,1.8,3.3,.536,0.0,0.0,.000,1.8,3.3,.538,0.7,1.6,.442,1.7,1.9,3.6,0.4,0.4,0.9,0.7,2.0,4.2
2009-10,27,PHO,NBA,PF,79,0,14.8,1.9,3.5,.551,0.0,0.0,.000,1.9,3.5,.553,0.8,1.6,.545,1.6,2.8,4.4,0.4,0.3,0.9,0.7,2.1,4.7
2010-11,28,GSW,NBA,PF,46,7,15.0,1.8,4.0,.454,0.0,0.0,,1.8,4.0,.454,0.7,1.9,.391,1.8,2.3,4.0,0.4,0.3,0.7,0.5,1.9,4.3
2011-12,29,IND,NBA,PF,60,0,12.6,1.5,3.5,.430,0.0,0.0,,1.5,3.5,.430,0.6,1.4,.427,1.6,2.1,3.7,0.2,0.5,0.7,0.8,2.1,3.6
2012-13,30,TOT,NBA,PF,39,0,9.5,0.8,2.1,.395,0.0,0.0,,0.8,2.1,.395,0.3,0.9,.333,1.2,1.5,2.7,0.3,0.4,0.3,0.5,1.4,1.9
2012-13,30,MIN,NBA,PF,20,0,8.1,0.7,1.9,.368,0.0,0.0,,0.7,1.9,.368,0.2,1.0,.200,1.2,1.2,2.4,0.2,0.4,0.3,0.6,1.3,1.6
2012-13,30,CHI,NBA,PF,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-13,30,NOH,NBA,PF,18,0,11.6,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,0.4,0.9,.500,1.3,1.9,3.2,0.4,0.5,0.3,0.4,1.5,2.4
2013-14,31,TOT,NBA,PF,19,0,9.7,0.8,1.7,.500,0.0,0.0,,0.8,1.7,.500,0.3,1.3,.250,1.5,1.4,2.9,0.3,0.5,0.6,0.7,2.6,2.0
2013-14,31,NOP,NBA,PF,18,0,10.2,0.9,1.8,.500,0.0,0.0,,0.9,1.8,.500,0.3,1.3,.250,1.6,1.5,3.1,0.3,0.5,0.6,0.8,2.7,2.1
2013-14,31,CHI,NBA,PF,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
