2004-05,19,NYK,NBA,SF,80,12,17.3,2.2,4.9,.442,0.0,0.2,.231,2.1,4.7,.449,1.5,2.2,.695,1.1,1.9,3.0,1.1,0.9,0.2,0.9,1.9,5.9
2005-06,20,TOT,NBA,SF,57,10,17.5,1.6,4.0,.412,0.0,0.1,.200,1.6,3.9,.416,1.4,2.2,.606,1.4,2.5,3.8,1.1,1.0,0.2,1.1,1.8,4.6
2005-06,20,NYK,NBA,SF,36,10,19.7,1.7,4.1,.418,0.0,0.1,.333,1.7,4.0,.420,1.2,2.1,.545,1.4,2.4,3.8,1.3,1.2,0.3,1.3,2.2,4.6
2005-06,20,ORL,NBA,SF,21,0,13.8,1.5,3.8,.400,0.0,0.1,.000,1.5,3.7,.410,1.7,2.4,.700,1.4,2.5,3.9,0.7,0.7,0.1,0.8,1.0,4.7
2006-07,21,ORL,NBA,SG,57,7,22.4,3.5,6.5,.539,0.0,0.1,.000,3.5,6.4,.549,1.9,3.0,.620,1.7,2.6,4.4,1.1,1.0,0.3,1.5,2.4,8.9
2007-08,22,TOT,NBA,SF,35,3,15.6,2.0,3.9,.507,0.1,0.5,.278,1.8,3.4,.542,1.4,2.1,.653,0.9,2.2,3.1,1.3,0.9,0.3,0.7,1.3,5.5
2007-08,22,ORL,NBA,SF,11,0,10.5,1.3,2.8,.452,0.0,0.3,.000,1.3,2.5,.500,0.7,1.4,.533,0.5,1.7,2.2,0.7,0.5,0.3,0.5,0.8,3.3
2007-08,22,LAL,NBA,SF,24,3,18.0,2.3,4.4,.524,0.2,0.6,.333,2.1,3.8,.556,1.7,2.5,.683,1.0,2.5,3.5,1.5,1.1,0.3,0.8,1.5,6.5
2008-09,23,LAL,NBA,SF,82,20,24.4,3.3,7.3,.460,0.7,2.3,.319,2.6,4.9,.526,1.5,2.1,.710,1.4,2.9,4.3,1.8,1.7,0.3,1.1,2.0,8.9
2009-10,24,HOU,NBA,SF,72,71,36.5,5.5,13.9,.394,1.9,5.7,.334,3.6,8.2,.436,2.1,3.2,.649,1.1,4.5,5.6,3.8,1.8,0.6,2.2,2.3,14.9
2010-11,25,NOH,NBA,SF,75,75,34.7,4.0,10.2,.398,1.1,3.6,.303,2.9,6.5,.450,1.8,2.6,.701,0.8,4.6,5.4,2.2,1.6,0.4,1.6,2.4,11.0
2011-12,26,NOH,NBA,SF,41,41,32.9,4.1,9.8,.417,0.7,2.1,.333,3.4,7.7,.440,1.9,2.5,.775,1.0,4.2,5.2,3.3,1.7,0.6,1.9,1.8,10.8
2012-13,27,WAS,NBA,SF,56,15,26.3,3.4,8.1,.417,1.4,3.7,.364,2.0,4.3,.463,1.4,1.7,.821,0.8,4.0,4.8,2.0,1.3,0.4,1.5,1.3,9.5
2013-14,28,WAS,NBA,SF,77,77,35.4,5.1,11.1,.456,2.3,5.7,.407,2.7,5.3,.509,1.9,2.5,.772,1.3,4.9,6.2,2.5,1.6,0.3,1.7,2.3,14.4
2014-15,29,HOU,NBA,SF,61,61,35.9,4.4,11.4,.383,2.3,7.0,.330,2.1,4.4,.465,1.5,1.7,.873,1.0,4.5,5.4,2.4,1.9,0.2,1.7,2.4,12.5
Career,,,NBA,,693,392,27.7,3.6,8.5,.428,1.0,3.0,.344,2.6,5.5,.474,1.7,2.4,.707,1.1,3.6,4.7,2.1,1.4,0.3,1.4,2.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,HOU,NBA,,133,132,36.2,5.0,12.7,.390,2.1,6.2,.332,2.9,6.5,.445,1.8,2.5,.718,1.0,4.5,5.5,3.2,1.8,0.4,2.0,2.3,13.8
2 seasons,,WAS,NBA,,133,92,31.5,4.3,9.8,.442,1.9,4.9,.393,2.4,4.9,.492,1.7,2.2,.788,1.1,4.5,5.6,2.3,1.5,0.3,1.6,1.9,12.3
2 seasons,,NOH,NBA,,116,116,34.1,4.1,10.0,.404,1.0,3.1,.310,3.1,7.0,.446,1.9,2.6,.726,0.9,4.5,5.4,2.6,1.6,0.5,1.7,2.2,10.9
2 seasons,,NYK,NBA,,116,22,18.0,2.0,4.6,.436,0.0,0.1,.250,2.0,4.5,.441,1.4,2.2,.649,1.2,2.1,3.3,1.1,1.0,0.2,1.0,2.0,5.5
2 seasons,,LAL,NBA,,106,23,22.9,3.1,6.6,.469,0.6,1.9,.320,2.5,4.7,.531,1.5,2.2,.703,1.3,2.8,4.1,1.7,1.5,0.3,1.0,1.9,8.3
3 seasons,,ORL,NBA,,89,7,18.9,2.8,5.4,.510,0.0,0.1,.000,2.8,5.3,.523,1.7,2.7,.631,1.5,2.5,4.0,1.0,0.9,0.3,1.2,1.9,7.2
