2005-06,22,SAC,NBA,PG,29,0,5.2,0.7,2.0,.362,0.2,0.9,.222,0.5,1.1,.484,0.4,0.4,1.000,0.2,0.3,0.5,0.4,0.2,0.0,0.3,0.3,2.1
2006-07,23,SAC,NBA,PG,58,1,9.7,1.2,3.0,.390,0.4,1.1,.323,0.8,1.8,.430,0.6,0.9,.673,0.3,1.0,1.2,0.8,0.5,0.1,0.6,1.1,3.3
2007-08,24,UTA,NBA,PG,61,3,9.6,1.4,3.3,.431,0.4,1.2,.347,1.0,2.1,.481,0.4,0.6,.684,0.1,0.6,0.8,1.3,0.5,0.0,0.5,1.4,3.7
2008-09,25,UTA,NBA,PG,52,17,14.2,1.5,3.9,.379,0.4,1.2,.311,1.1,2.7,.408,0.7,0.9,.756,0.2,1.1,1.3,2.1,0.8,0.1,1.2,1.4,4.0
2009-10,26,UTA,NBA,PG,60,4,13.4,1.6,4.0,.405,0.3,1.1,.286,1.3,3.0,.447,0.7,1.0,.695,0.5,0.8,1.2,2.1,0.7,0.2,0.9,1.8,4.3
2010-11,27,UTA,NBA,SG,59,0,12.2,1.3,3.6,.352,0.3,1.2,.290,0.9,2.4,.383,0.5,0.7,.744,0.4,0.7,1.0,0.9,0.7,0.1,0.9,1.8,3.3
2011-12,28,PHO,NBA,PG,36,8,14.4,1.4,3.6,.377,0.4,1.2,.295,1.0,2.4,.419,0.6,0.7,.800,0.5,1.1,1.6,1.9,0.9,0.1,1.3,2.0,3.6
2012-13,29,POR,NBA,PG,39,0,13.1,1.0,3.1,.325,0.3,1.0,.256,0.7,2.1,.358,0.4,0.6,.708,0.3,0.8,1.1,1.9,0.7,0.1,0.9,1.6,2.7
2013-14,30,ORL,NBA,SG,31,2,12.2,0.9,3.0,.304,0.3,1.4,.209,0.6,1.6,.388,0.3,0.4,.692,0.3,1.1,1.4,2.1,0.8,0.1,0.8,1.6,2.4
2014-15,31,LAL,NBA,PG,43,20,22.8,1.8,5.2,.345,0.7,2.5,.284,1.1,2.7,.404,0.8,1.0,.800,0.4,1.2,1.6,3.8,1.6,0.1,1.2,2.7,5.1
Career,,,NBA,,468,55,12.7,1.3,3.5,.374,0.4,1.3,.291,1.0,2.3,.420,0.6,0.8,.735,0.3,0.9,1.2,1.7,0.7,0.1,0.9,1.6,3.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,UTA,NBA,,232,24,12.3,1.5,3.7,.392,0.4,1.2,.310,1.1,2.5,.430,0.6,0.8,.718,0.3,0.8,1.1,1.6,0.7,0.1,0.9,1.6,3.8
2 seasons,,SAC,NBA,,87,1,8.2,1.0,2.6,.383,0.3,1.1,.293,0.7,1.6,.442,0.6,0.8,.731,0.2,0.8,1.0,0.7,0.4,0.0,0.5,0.9,2.9
1 season,,LAL,NBA,,43,20,22.8,1.8,5.2,.345,0.7,2.5,.284,1.1,2.7,.404,0.8,1.0,.800,0.4,1.2,1.6,3.8,1.6,0.1,1.2,2.7,5.1
1 season,,POR,NBA,,39,0,13.1,1.0,3.1,.325,0.3,1.0,.256,0.7,2.1,.358,0.4,0.6,.708,0.3,0.8,1.1,1.9,0.7,0.1,0.9,1.6,2.7
1 season,,PHO,NBA,,36,8,14.4,1.4,3.6,.377,0.4,1.2,.295,1.0,2.4,.419,0.6,0.7,.800,0.5,1.1,1.6,1.9,0.9,0.1,1.3,2.0,3.6
1 season,,ORL,NBA,,31,2,12.2,0.9,3.0,.304,0.3,1.4,.209,0.6,1.6,.388,0.3,0.4,.692,0.3,1.1,1.4,2.1,0.8,0.1,0.8,1.6,2.4
