2004-05,19,ORL,NBA,PF,82,82,32.6,4.3,8.3,.520,0.0,0.0,.000,4.3,8.2,.521,3.4,5.0,.671,3.5,6.5,10.0,0.9,0.9,1.7,2.0,2.8,12.0
2005-06,20,ORL,NBA,PF,82,81,36.8,5.7,10.7,.531,0.0,0.0,.000,5.7,10.7,.532,4.3,7.3,.595,3.5,9.0,12.5,1.5,0.8,1.4,2.6,3.4,15.8
2006-07 ★,21,ORL,NBA,C,82,82,36.9,6.4,10.6,.603,0.0,0.0,.500,6.4,10.6,.603,4.8,8.1,.586,3.5,8.8,12.3,1.9,0.9,1.9,3.9,3.0,17.6
2007-08 ★,22,ORL,NBA,C,82,82,37.7,7.1,11.9,.599,0.0,0.0,.000,7.1,11.8,.601,6.5,10.9,.590,3.4,10.8,14.2,1.3,0.9,2.1,3.2,3.3,20.7
2008-09 ★,23,ORL,NBA,C,79,79,35.7,7.1,12.4,.572,0.0,0.0,.000,7.1,12.4,.573,6.4,10.7,.594,4.3,9.6,13.8,1.4,1.0,2.9,3.0,3.4,20.6
2009-10 ★,24,ORL,NBA,C,82,82,34.7,6.2,10.2,.612,0.0,0.1,.000,6.2,10.1,.617,5.9,10.0,.592,3.5,9.7,13.2,1.8,0.9,2.8,3.3,3.5,18.3
2010-11 ★,25,ORL,NBA,C,78,78,37.6,7.9,13.4,.593,0.0,0.1,.000,7.9,13.3,.597,7.0,11.7,.596,4.0,10.1,14.1,1.4,1.4,2.4,3.6,3.3,22.9
2011-12 ★,26,ORL,NBA,C,54,54,38.3,7.7,13.4,.573,0.0,0.1,.000,7.7,13.3,.579,5.2,10.6,.491,3.7,10.8,14.5,1.9,1.5,2.1,3.2,2.9,20.6
2012-13 ★,27,LAL,NBA,C,76,76,35.8,6.2,10.7,.578,0.0,0.1,.167,6.2,10.6,.581,4.7,9.5,.492,3.3,9.1,12.4,1.4,1.1,2.4,3.0,3.8,17.1
2013-14 ★,28,HOU,NBA,C,71,71,33.7,6.7,11.3,.591,0.0,0.1,.286,6.6,11.2,.594,4.9,9.0,.547,3.3,8.9,12.2,1.8,0.8,1.8,3.2,3.4,18.3
2014-15,29,HOU,NBA,C,32,32,32.2,6.3,11.0,.575,0.0,0.1,.500,6.3,10.9,.576,3.7,6.9,.527,2.8,8.2,11.0,1.4,0.7,1.4,3.1,3.5,16.3
Career,,,NBA,,800,799,35.8,6.5,11.2,.579,0.0,0.1,.104,6.5,11.1,.581,5.2,9.1,.573,3.5,9.2,12.8,1.5,1.0,2.1,3.1,3.3,18.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,ORL,NBA,,621,620,36.2,6.5,11.3,.577,0.0,0.1,.030,6.5,11.2,.580,5.4,9.2,.588,3.6,9.3,13.0,1.5,1.0,2.2,3.1,3.2,18.4
2 seasons,,HOU,NBA,,103,103,33.3,6.6,11.2,.586,0.0,0.1,.333,6.5,11.1,.588,4.5,8.3,.542,3.1,8.7,11.8,1.7,0.8,1.7,3.2,3.4,17.7
1 season,,LAL,NBA,,76,76,35.8,6.2,10.7,.578,0.0,0.1,.167,6.2,10.6,.581,4.7,9.5,.492,3.3,9.1,12.4,1.4,1.1,2.4,3.0,3.8,17.1
