2008-09,22,SAS,NBA,PG,77,7,16.5,1.9,4.8,.403,0.3,0.9,.329,1.6,3.9,.421,1.5,1.9,.781,0.4,1.7,2.1,1.8,0.6,0.3,1.0,1.9,5.7
2009-10,23,SAS,NBA,PG,78,43,29.2,4.5,9.5,.478,1.0,2.4,.399,3.6,7.1,.505,2.3,3.0,.772,0.5,2.1,2.6,2.9,0.9,0.3,1.3,2.8,12.4
2010-11,24,SAS,NBA,PG,76,5,28.3,3.8,8.3,.453,1.0,2.7,.377,2.8,5.6,.490,3.1,3.6,.863,0.3,2.3,2.6,2.5,0.9,0.3,1.3,2.0,11.6
2011-12,25,IND,NBA,PG,50,9,25.5,3.4,7.6,.442,1.1,2.9,.367,2.3,4.7,.489,1.8,2.3,.778,0.6,2.4,3.0,2.9,0.8,0.3,1.0,2.0,9.6
2012-13,26,IND,NBA,PG,76,76,34.5,5.1,11.5,.443,1.7,4.6,.368,3.4,6.8,.494,2.3,2.8,.817,0.6,3.1,3.7,4.7,1.1,0.3,1.5,1.8,14.2
2013-14,27,IND,NBA,PG,76,76,32.0,3.6,8.1,.442,1.3,3.4,.365,2.3,4.7,.497,1.9,2.3,.807,0.7,3.0,3.7,3.5,1.0,0.3,1.2,2.1,10.3
2014-15,28,IND,NBA,PG,21,14,25.4,5.0,11.3,.445,1.5,4.0,.369,3.6,7.3,.487,2.5,3.3,.757,0.5,3.3,3.8,4.4,0.9,0.3,1.3,2.0,14.1
Career,,,NBA,,454,230,27.7,3.8,8.5,.448,1.1,2.9,.371,2.7,5.6,.487,2.2,2.7,.806,0.5,2.5,3.0,3.1,0.9,0.3,1.2,2.1,10.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SAS,NBA,,231,55,24.6,3.4,7.5,.453,0.8,2.0,.378,2.7,5.5,.480,2.3,2.8,.812,0.4,2.0,2.4,2.4,0.8,0.3,1.2,2.3,9.9
4 seasons,,IND,NBA,,223,175,30.8,4.2,9.4,.443,1.4,3.8,.367,2.8,5.7,.493,2.1,2.6,.799,0.6,2.9,3.6,3.8,1.0,0.3,1.3,1.9,11.8
