2011-12,24,TOT,NBA,PG,33,11,669,79,198,.399,2,25,.080,77,173,.445,.404,23,30,.767,18,49,67,105,13,3,49,37,183
2011-12,24,ATL,NBA,PG,5,0,20,3,8,.375,0,1,.000,3,7,.429,.375,0,0,,1,4,5,5,1,0,2,3,6
2011-12,24,NOH,NBA,PG,3,0,41,5,14,.357,0,2,.000,5,12,.417,.357,2,4,.500,2,1,3,8,2,0,5,2,12
2011-12,24,CLE,NBA,PG,25,11,608,71,176,.403,2,22,.091,69,154,.448,.409,21,26,.808,15,44,59,92,10,3,42,32,165
2012-13,25,TOT,NBA,SG-PG,23,0,263,27,78,.346,7,19,.368,20,59,.339,.391,20,25,.800,3,25,28,38,5,0,14,17,81
2012-13,25,CLE,NBA,SG,20,0,257,27,78,.346,7,19,.368,20,59,.339,.391,20,25,.800,3,25,28,37,5,0,13,17,81
2012-13,25,NOH,NBA,PG,3,0,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,1,0,0
2013-14,26,IND,NBA,SG,48,1,392,44,117,.376,10,42,.238,34,75,.453,.419,12,20,.600,4,40,44,50,10,1,22,19,110
2014-15,27,IND,NBA,PG,43,21,1010,139,339,.410,40,125,.320,99,214,.463,.469,59,75,.787,12,125,137,175,21,0,59,44,377
Career,,,NBA,,147,33,2334,289,732,.395,59,211,.280,230,521,.441,.435,114,150,.760,37,239,276,368,49,4,144,117,751
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,IND,NBA,,91,22,1402,183,456,.401,50,167,.299,133,289,.460,.456,71,95,.747,16,165,181,225,31,1,81,63,487
2 seasons,,CLE,NBA,,45,11,865,98,254,.386,9,41,.220,89,213,.418,.404,41,51,.804,18,69,87,129,15,3,55,49,246
2 seasons,,NOH,NBA,,6,0,47,5,14,.357,0,2,.000,5,12,.417,.357,2,4,.500,2,1,3,9,2,0,6,2,12
1 season,,ATL,NBA,,5,0,20,3,8,.375,0,1,.000,3,7,.429,.375,0,0,,1,4,5,5,1,0,2,3,6
